_id,etablissement_code,university_code,label_ar,label_fr,website,gouvernorat,type,lat,lon
87,614,6,المعهد الوطني للتكنولوجيا والعلوم بالكاف,Institut National des Technologies et des Sciences du Kef,,Jendouba,Public,36.17813247965729,8.710772479167591
88,608,6,المعهد العالي للبيوتكنولوجيا بباجة,Institut Supérieur de Biotechnologie de Béja,www.isbb.rnu.tn,Béja,Public,36.718591762196425,9.1795038363003
89,609,6,المعهد العالي للإعلامية بالكاف,Institut Supérieur de l'Informatique du Kef,www.isikef.rnu.tn,Le Kef,Public,36.17834078813045,8.710288414400305
90,603,6,المعهد العالي للموسيقى والمسرح بالكاف,Institut Supérieur de Musique et de Théâtre du Kef,www.istmk.rnu.tn,Le Kef,Public,36.179916711237226,8.717834145965927
91,604,6,المعهد العالي للفنون والحرف بسليانة,Institut Supérieur des Arts et Métiers de Siliana,www.isamsl.rnu.tn,Siliana,Public,36.08375519538907,9.368330951644635
92,607,6,المعهد العالي للدراسات التطبيقية في الإنسانيات بالكاف,Institut Supérieur des Etudes Appliquées en Humanités du Kef,www.iseahkf.rnu.tn,Le Kef,Public,36.18186889892116,8.724286338670101
93,605,6,المعهد العالي للغات التطبيقية والإعلامية بباجة,Institut Supérieur des Langues Appliquées et Informatique de Béja,www.islaib.rnu.tn,Béja,Public,36.729189202062884,9.201833917844851
94,606,6,المعهد العالي للعلوم الإنسانية بجندوبة,Institut Supérieur des Sciences Humaines de Jendouba,www.isshj.rnu.tn,Jendouba,Public,36.510339371190334,8.760811586265046
95,610,6,المعهد العالي لعلوم التمريض بالكاف,Institut Supérieur des Sciences Infirmières de Kef,issikf.rnu.tn,Le Kef,Public,36.176573732511486,8.704001608925154
96,611,6,المعهد العالي للرياضة والتربية البدنية بالكاف,Institut Supérieur du Sport et de l’Education Physique du Kef,issepk.rnu.tn/Fr/nous-contacter_10_18,Le Kef,Public,36.121710752254096,8.71972580096017
97,602,6,معهد الغابات والمراعي بطبرقة,Institut Sylvo-Pastoral de Tabarka,isptabarka.agrinet.tn/index.php/fr/,Jendouba,Public,36.92889558267683,8.791242180787632
98,901,9,كلية الآداب والعلوم الإنسانية بالقيروان,Faculté des Lettres et des Sciences Humaines de Kairouan,flshk.rnu.tn,Kairouan,Public,35.60043330129344,10.064525149558415
99,911,9,كلية العلوم والتقنيات بسيدي بوزيد,Faculté des Sciences et Techniques de Sidi Bouzid,fstsbz.rnu.tn,Sidi Bouzid,Public,35.01486168516771,9.485636584538845
100,912,9,المعهد التحضيري للدراسات الهندسية بالقيروان,Institut Préparatoire aux Etudes d'Ingénieurs de Kairouan,ipeik.rnu.tn,Kairouan,Public,35.6752334702944,10.105432738944437
101,902,9,المعهد العالي للفنون والحرف بالقيروان,Institut Supérieur des Arts et Métiers de Kairouan,isamk.rnu.tn,Kairouan,Public,35.674238404853355,10.102475414716542
102,903,9,المعهد العالي للفنون والحرف بالقصرين,Institut Supérieur des Arts et Métiers de Kasserine,isamkas.rnu.tn,Kasserine,Public,35.176453521001186,8.849374288603986
